CD_CIN Number,BS_Long-Term Borrowings,BS_Year End
L51109UP1980PLC022154,0,201603
L51109UP1980PLC022154,0,201503
L51109UP1980PLC022154,0,201403
L51109UP1980PLC022154,0,201303
L51109UP1980PLC022154,0,201203
L51109UP1980PLC022154,0,201103
L15400GJ1990PLC014265,992000,201703
L15400GJ1990PLC014265,2552000,201603
L15400GJ1990PLC014265,4725000,201503
L15400GJ1990PLC014265,307000,201403
L15400GJ1990PLC014265,1524000,201303
L15400GJ1990PLC014265,2437000,201203
L15400GJ1990PLC014265,4575000,201103
L74899DL1993PLC056347,0,201703
L74899DL1993PLC056347,0,201603
L74899DL1993PLC056347,0,201503
L74899DL1993PLC056347,0,201403
L74899DL1993PLC056347,0,201303
L74899DL1993PLC056347,0,201203
L74899DL1993PLC056347,0,201103
L51503DL1985PLC020195,0,201703
L51503DL1985PLC020195,0,201603
L51503DL1985PLC020195,0,201506
L51503DL1985PLC020195,0,201406
L51503DL1985PLC020195,0,201306
L51503DL1985PLC020195,0,201206
L51503DL1985PLC020195,0,201103
L52190WB2011PLC158320,0,201703
L52190WB2011PLC158320,0,201603
L52190WB2011PLC158320,0,201503
L52190WB2011PLC158320,0,201403
L52190WB2011PLC158320,0,201303
L65921WB1979PLC032200,2500000,201703
L65921WB1979PLC032200,44510000,201603
L65921WB1979PLC032200,164601395,201503
L65921WB1979PLC032200,294661184,201403
L65921WB1979PLC032200,425447645,201303
L65921WB1979PLC032200,583712749,201203
L65921WB1979PLC032200,428712046,201103
L28110OR2001PLC017271,15362601000,201703
L28110OR2001PLC017271,16084328000,201603
L28110OR2001PLC017271,15825760000,201506
L28110OR2001PLC017271,7756088000,201406
L28110OR2001PLC017271,5900841000,201306
L28110OR2001PLC017271,5460341000,201206
L28110OR2001PLC017271,7475924000,201103
L24231GJ1992PLC018572,10490000,201703
L24231GJ1992PLC018572,9780000,201603
L24231GJ1992PLC018572,10740851,201503
L24231GJ1992PLC018572,10640851,201403
L24231GJ1992PLC018572,11005851,201303
L24231GJ1992PLC018572,11114395,201203
L24231GJ1992PLC018572,10123880,201103
L24230WB1982PLC034492,0,201703
L24230WB1982PLC034492,0,201603
L24230WB1982PLC034492,0,201503
L24230WB1982PLC034492,0,201403
L24230WB1982PLC034492,0,201303
L24230WB1982PLC034492,0,201203
L24230WB1982PLC034492,0,201103
L51909GJ1995PLC024300,0,201703
L51909GJ1995PLC024300,0,201603
L51909GJ1995PLC024300,0,201503
L51909GJ1995PLC024300,0,201403
L51909GJ1995PLC024300,0,201303
L51909GJ1995PLC024300,0,201203
L51909GJ1995PLC024300,0,201103
L17115PB1979PLC003910,0,201703
L17115PB1979PLC003910,0,201603
L17115PB1979PLC003910,13450000,201503
L17115PB1979PLC003910,16650000,201403
L17115PB1979PLC003910,17150000,201303
L17115PB1979PLC003910,17150000,201203
L17115PB1979PLC003910,18350000,201103
U67120GJ2007PLC058890,0,201703
U67120GJ2007PLC058890,0,201603
U67120GJ2007PLC058890,0,201503
U67120GJ2007PLC058890,0,201403
U67120GJ2007PLC058890,0,201303
U67120GJ2007PLC058890,0,201203
U67120GJ2007PLC058890,0,201103
L18101MH2007PLC233901,12709900000,201703
L18101MH2007PLC233901,6771500000,201603
L18101MH2007PLC233901,9375000000,201503
L18101MH2007PLC233901,10150000000,201403
L18101MH2007PLC233901,4849300000,201303
L18101MH2007PLC233901,0,201203
L18101MH2007PLC233901,0,201103
L65993GJ1995PLC064810,0,201703
L65993GJ1995PLC064810,0,201603
L65993GJ1995PLC064810,0,201503
L65993GJ1995PLC064810,0,201403
L65993GJ1995PLC064810,0,201303
L65993GJ1995PLC064810,0,201203
L65993GJ1995PLC064810,0,201103
U52190BR2002PLC009872,71231981,201703
U52190BR2002PLC009872,71420781,201603
U52190BR2002PLC009872,7529000,201503
U52190BR2002PLC009872,11804000,201403
U52190BR2002PLC009872,3929000,201303
U52190BR2002PLC009872,9135000,201203
L27100GJ1992PLC017196,80295476,201703
L27100GJ1992PLC017196,83345476,201603
L27100GJ1992PLC017196,83345476,201503
L27100GJ1992PLC017196,83345476,201403
L27100GJ1992PLC017196,83345476,201303
L27100GJ1992PLC017196,64134336,201203
L27100GJ1992PLC017196,64469752,201103
L27109TG1990PLC012099,9460488,201703
L27109TG1990PLC012099,3780492,201603
L27109TG1990PLC012099,6301252,201503
L27109TG1990PLC012099,3578725,201403
L27109TG1990PLC012099,257326,201303
L27109TG1990PLC012099,679282,201203
L27109TG1990PLC012099,0,201103
L18100AP1991PLC012337,142511000,201703
L18100AP1991PLC012337,94557000,201603
L18100AP1991PLC012337,33943000,201503
L18100AP1991PLC012337,35187000,201403
L18100AP1991PLC012337,8553455,201303
L18100AP1991PLC012337,42606463,201203
L18100AP1991PLC012337,2166352411,201103
U32109BR1999PLC008783,350402474,201703
U32109BR1999PLC008783,90501409,201603
U32109BR1999PLC008783,19658000,201503
U32109BR1999PLC008783,4216000,201403
U32109BR1999PLC008783,1072000,201303
U32109BR1999PLC008783,1574000,201203
L92490MH2010PLC199925,9868190000,201703
L92490MH2010PLC199925,9571101000,201603
